,Headline,Snippet,Lead paragraph,Source,Date
3984,"Laying Down His Tools, Belarus Worker Takes Up Mantle of Protest Leader","Sergei A. Dylevsky, a Belarusian tractor factory worker, has emerged as a populist leader in demonstrations against President Aleksandr G. Lukashenko.","MINSK, Belarus — After seeing multiple people with fractured bones, purple bruises and other injuries — the result of a brutal crackdown on protests against the widely contested re-election of President Aleksandr G. Lukashenko of Belarus — Sergei A. Dylevsky, a worker at the Minsk Tractor Works, decided he had had enough.",The New York Times,2020-08-21 11:32:49+00:00
3985,Clyburn compares the stakes of the 2020 election to Lincoln’s candidacy in 1860.,,"Representative James E. Clyburn of South Carolina, who has largely been credited with rejuvenating former Vice President Joseph R. Biden Jr.’s struggling presidential campaign in February, said on Wednesday that the election stakes this year were comparable to those in 1860, when Abraham Lincoln was on the ballot.",The New York Times,2020-08-19 14:57:22+00:00
3986,"Trump Shows Up in Biden’s Home Region, and a Turf War Begins","In a visit to Pennsylvania hours before Joe Biden’s nomination speech, President Trump sought to undermine the former vice president’s Scranton roots, saying he had “abandoned” the state.","OLD FORGE, Pa. — In the working-class county where Joseph R. Biden Jr. spent his childhood, a river of yard signs were at war on Moosic Road: Trump vs. Biden.",The New York Times,2020-08-20 19:05:33+00:00
3987,Top G.O.P. national security officials call Trump ‘unfit to lead’ and back Biden.,,"Four years after 50 of the nation’s most senior Republican national security officials warned that Donald J. Trump “would be the most reckless president in American history,” they are back with a new letter, declaring his presidency worse than they had imagined and urging voters to support Joseph R. Biden Jr.",The New York Times,2020-08-20 18:35:12+00:00
3988,Letters to the Editor,Readers respond to recent issues of the Sunday Book Review.,To the Editor:,The New York Times,2020-08-21 09:00:04+00:00
3989,"Want to Make It Big in Fashion? Think Small, Like Evan Kinori","In just five years, Evan Kinori has drawn a passionate international following with his meticulous workwear and small-is-beautiful ethos.",SAN FRANCISCO — Is this a good time to talk about “enoughness?”,The New York Times,2020-08-19 09:00:12+00:00
3990,How to Protect Your Family’s Privacy During Remote Learning,"Building a safe digital environment is essential to making remote learning work, experts say.","Millions of students will attend school online this fall because of the coronavirus, either by choice or not.",The New York Times,2020-08-20 09:00:14+00:00
3991,Islanders Advance in N.H.L. Playoffs Past Washington Capitals,The Islanders advanced by beating the 2018 Stanley Cup champions in five games in Toronto.,TORONTO — A suffocating defense has become the Islanders’ hallmark under Coach Barry Trotz. But the Washington Capitals were well positioned to crack his system in the first round of the N.H.L. playoffs.,The New York Times,2020-08-21 02:39:02+00:00
3992,"In Lagos, a Homegrown Ballet Academy Leaps Into the Spotlight","A viral video has lifted the school’s fortunes and visibility. “It’s not only about the dance itself,” its founder says, “it’s about the value of dance education.”","In June, a minute-long video featuring a young ballet student dancing in the rain began circulating on the internet. As the rain falls, forming puddles between the uneven slabs of concrete on which he dances, Anthony Mmesoma Madu, 11, turns pirouette after pirouette.",The New York Times,2020-08-19 09:00:19+00:00
3993,Office Gossip Lives!,Just because we’ve stopped going into work doesn’t mean we’ve stopped talking.,"As the saying goes, if you don’t have something nice to say about anybody, come sit by me.",The New York Times,2020-08-20 04:01:10+00:00
3994,"The Record Market, Explained",And what else you need to know today.,"Despite a global pandemic and double-digit unemployment in the United States, the S&P 500 stock index reached a new high yesterday.",The New York Times,2020-08-19 10:30:02+00:00
3995,Trump says he is ‘the only thing standing between the American dream and total anarchy.’,,"President Trump, who decried what he called “American carnage” during his inaugural address in 2017, on Friday called the Democratic convention the “darkest and angriest and gloomiest” in the country’s history in remarks to a conservative group  in Arlington, Va.",The New York Times,2020-08-21 18:09:01+00:00
3996,My Colleagues Have Great Work-Life Balance (Thanks to Childless Me),"Plus: Advice for a worker who’s too self-critical, and for a boss who’s not nearly critical enough.","Send questions about the office, money, careers and work-life balance to workfriend@nytimes.com. Include your name and location, or a request to remain anonymous. Letters may be edited.",The New York Times,2020-08-21 13:00:09+00:00
3997,"Steering Wheels’ Past, Present and (Autonomous) Future","Today, they’re wired and heated, laden with controls. Soon, they could be reserved only for classic cars.",Grab one before they’re gone.,The New York Times,2020-08-20 10:00:06+00:00
3998,How to Help a Child With Delays in Motor Skills and When to Get Support,"Occupational therapy is not just for kids with disabilities, it can benefit a wide variety of children.","Lisa Dahlstrom, 42, is worried about her 3-year old son, Levi, entering preschool this fall. He has little interest in picking up a pencil or crayon, and when he does, he still holds it in a toddler’s fisted grip. He struggles with tracing lines and using scissors. He has trouble pulling shirts on and off himself, and shows absolutely no desire to begin potty training.",The New York Times,2020-08-21 17:14:18+00:00
3999,"E.U. Rejects Belarus Election, Without Demanding a New One",Europe’s leaders are treading carefully to avoid providing a pretext for further state violence or for a Russian intervention.,BRUSSELS — European Union leaders said on Wednesday that they would not recognize the results of the recent Belarus election and would shortly impose sanctions on those who were involved in electoral fraud and the repression of protests.,The New York Times,2020-08-19 15:58:10+00:00
4000,F.D.A.’s Emergency Approval of Blood Plasma Is Now on Hold,"Government health leaders including Dr. Francis S. Collins and Dr. Anthony S. Fauci urged caution last week, citing weak data from the country’s largest plasma study.","WASHINGTON — Last week, just as the Food and Drug Administration was preparing to issue an emergency authorization for blood plasma as a Covid-19 treatment, a group of top federal health officials including Dr. Francis S. Collins and Dr. Anthony S. Fauci intervened, arguing that emerging data on the treatment was too weak, according to two senior administration officials.",The New York Times,2020-08-19 12:59:55+00:00
4001,Quotation of the Day: Swag but No Suites at a Party-less Party Convention,"Quotation of the Day for Wednesday, August 19, 2020.",“I’ll be three feet from the fridge and 10 feet from our bar. That sounds OK to me.”,The New York Times,2020-08-19 02:40:30+00:00
4002,Jill Biden Is Not Melania Trump,"Well, obviously. But as she stepped into the spotlight at the convention, she offered a different type of model.","She will not use fashion as a shield against the world. She will not gird herself in glamour, or arm herself with gilded European brand names. She is certainly not a trophy sitting on a shelf.",The New York Times,2020-08-19 11:53:42+00:00
4003,Late Night Wonders How Trump Is Reacting to the D.N.C. Speeches,"“Trump’s entire list of enemies” addressed the convention on Wednesday, said Jimmy Fallon. “The White House must have restrained him tonight like he was Hannibal Lecter.”","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. We’re all stuck at home at the moment, so here are the 50 best movies on Netflix right now.",The New York Times,2020-08-20 07:04:43+00:00
4004,Why Antibody Tests Won’t Help You Much,"Most antibody tests are useful only for large population surveys, diagnosis in certain children or when initial diagnostic testing fails, according to an expert panel.","Getting an antibody test to see if you had Covid-19 months ago is pointless, according to guidelines issued this week by a major medical society.",The New York Times,2020-08-21 22:34:31+00:00
4005,What’s on TV Thursday: ‘Bill & Ted’ and ‘An Easy Girl’,"With a sequel coming soon, revisit “Bill & Ted’s Excellent Adventure.” Or watch the latest film from the French director Rebecca Zlotowski on Netflix.","BILL & TED’S EXCELLENT ADVENTURE (1989) Stream on Starz platforms; rent on Amazon, Google Play, iTunes and YouTube. By the end of 1989, Alex Winter and Keanu Reeves’s fates were sealed: The pair would be forever known as the teenage stoner-doofus bandmates Bill and Ted. “I remember somebody doing an air-guitar slide on their knees, all the way across the floor of the restaurant up to our bar stools,” Winter recalled in a recent interview with The New York Times. “I remember saying to Keanu, you realize that this — no matter what happens — is never going to stop.” Winter and Reeves don’t seem to mind: They’re set to reprise the roles later this month in a sequel, “Bill & Ted Face the Music,” which makes now an opportune time to revisit the original movie. “Bill & Ted’s Excellent Adventure” finds the Southern California dudes Bill (Winter) and Ted (Reeves) traveling in a time machine, introducing the word “bogus” to medieval England and meeting historical figures like Abraham Lincoln and Joan of Arc.",The New York Times,2020-08-20 05:00:10+00:00
4006,What’s on TV Friday: ‘Hoops’ and ‘The One and Only Ivan’,An animated comedy series for adults hits Netflix. And Sam Rockwell voices a talented gorilla in a new Disney movie.,"HOOPS Stream on Netflix. This new animated comedy series opens with an eruption: Ben Hopkins, a high school basketball coach and the show’s main character, lays into a referee who made a call he didn’t like, with a string of insults that aren’t printable here. After the game, Ben (voiced by Jake Johnson) apologizes to his team. “It’s OK, coach,” a young player responds, “it was actually one of your funnier meltdowns.” The show follows Ben’s efforts to reverse his struggling team’s fortunes. It was created by the comic and musician Ben Hoffman, who releases country music as Wheeler Walker Jr. Hoffman’s 2016 debut album was called “unfathomably obscene” by Rolling Stone — so expect Coach Ben to spew plenty more vitriol as he whips the team into shape.",The New York Times,2020-08-21 05:00:05+00:00
4007,Untraceable cash flows into super PACs supporting both presidential candidates.,,"As Democrats built toward their nomination of Joseph R. Biden Jr. and President Trump called into Sean Hannity’s show on Fox News, federal election regulators released the latest fund-raising figures in the race on Thursday night.",The New York Times,2020-08-21 12:01:18+00:00
4008,Trump Says QAnon Followers Are People Who ‘Love Our Country’,"When asked, the president did not question the truth behind the claims of the QAnon conspiracy movement. Instead, he offered his help.","WASHINGTON — President Trump on Wednesday offered encouragement to proponents of QAnon, a viral conspiracy theory that has gained a widespread following among people who believe the president is secretly battling a criminal band of sex traffickers, and suggested that its proponents were patriots upset with unrest in Democratic cities.",The New York Times,2020-08-20 01:58:31+00:00
4009,"For Gregory Crewdson, Truth Lurks in the Landscape","As the artist shot his cinematically constructed images in the Berkshires, he was afflicted by mysterious maladies. “I felt my body betrayed me,” he said.","GREAT BARRINGTON, Mass. — The world has caught up to Gregory Crewdson. In his large-scale photographs, which are produced with a movie crew in bravura Hollywood style, the people stare off into space, cloaked in solipsistic misery. The lighting is so portentous and the isolation and hopelessness so exaggerated that these scenes have always reminded me of Technicolor film stills from a 1950s melodrama — a kitschy imitation of life.",The New York Times,2020-08-20 14:00:11+00:00
4010,"Litchfield, Conn.: Old-Fashioned and Pastoral","Prices are up in this rural town, where “the Covid stampede has gobbled up a lot of inventory.”","Being old-fashioned is a point of pride in pastoral Litchfield, where farms sell raw milk, residents traverse their properties on horses, and houses are older than America itself.",The New York Times,2020-08-19 09:00:44+00:00
4011,California vs. Ride-share Companies,And what else you need to know today.,"In September, California approved a bill with the power to reshape the state’s gig economy. Under the new law, companies are required to treat contract workers as employees if they contribute to the company’s core business, among other factors. That means providing them benefits like paid overtime and health insurance.",The New York Times,2020-08-20 10:30:02+00:00
4012,I Tried Microsoft’s Flight Simulator. The Earth Never Seemed So Real.,Microsoft’s latest version of Flight Simulator is so realistic that it suggests a new way of understanding the digital world.,"I was flying recently from Los Angeles to Temuco, the largest city in the Araucanía region of Chile, when I got to thinking — as one inevitably does during globe-spanning flights — about the fallacy of maps.",The New York Times,2020-08-19 09:00:22+00:00
4013,Flashback/Flash-Forward,Hillary Clinton’s D.N.C. appearance tonight is a reminder of how the party has changed since 2016.,"Hi. Welcome to On Politics, your guide to the day in national politics. I’m Giovanni Russonello, typically the morning newsletter writer. I’ll be your evening host during the conventions.",The New York Times,2020-08-19 22:20:02+00:00
4014,The Solar System Winked,"Ilana Ozernoy and Nina Mouritzen, both immigrants who moved to New York the same year, believe that they were always destined to meet.","When Ilana Ozernoy was a young girl growing up in the Soviet Union, her father, Leonid Ozernoy, a prominent astrophysicist in Moscow, bought her a telescope.",The New York Times,2020-08-21 09:00:30+00:00
4015,Alabama’s program to reopen universities is a high stakes experiment.,,Gov. Kay Ivey of Alabama made a daring educational decision in June: She would fund a statewide student testing and technology program to help public universities and colleges reopen for in-person classes.,The New York Times,2020-08-19 11:34:04+00:00
4016,Two Marines Who Once Stood Up to Discrimination Reunite,"‘All we tried to do was segregate ourselves, because we weren’t being treated fairly.’","Harry Wilson jumped up from his booth at the Waffle House when he saw the white sedan with the red Marine Corps license plate pull into the parking lot. He knew it was the man he once considered his best friend, Alexander Holmes. The last time they saw each other was April 1974, when Wilson served as the best man at Holmes’s wedding.",The New York Times,2020-08-19 09:00:23+00:00
4017,A Rhode Islander Reconciles Herself to Calamari,"Sure, other states might have squid — but do they have this much of it?","On Tuesday night, I received a curious text while en route to my current home in Albany, N.Y., after a visit to my hometown. Embedded in the message was a thumbnail of a 30-second video clip.",The New York Times,2020-08-20 23:00:07+00:00
4018,Dozens Die When Migrant Boat Capsizes in Mediterranean,"At least 45 people drowned or were missing and presumed dead off the coast of Libya, the U.N. said Wednesday.","CAIRO — A boat carrying dozens of migrants bound for Europe capsized in the Mediterranean Sea off Libya and at least 45 people drowned or were missing and presumed dead, the United Nations said Wednesday.",The New York Times,2020-08-19 20:45:48+00:00
4019,"‘Coup 53’ Review: International Underhandedness, Still Mysterious",Taghi Amirani’s documentary is an obsessively detailed dive into the 1953 ouster of Prime Minister Mohammad Mossadegh of Iran.,"It takes a certain kind of documentary to make sifting through old papers look exciting, but in “Coup 53,” the director Taghi Amirani sets an expectation of suspense early on. Visiting the National Security Archive at George Washington University, the filmmaker, who also serves as an on-camera M.C., looks at an ordinary file cabinet and sees “documents that essentially changed the fate of my country.”",The New York Times,2020-08-19 11:00:05+00:00
4020,Biden’s Balancing Act,"Can he please the left without angering the center, and vice versa?","Hi. Welcome to On Politics, your guide to the day in national politics. I’m Giovanni Russonello, typically the morning newsletter writer, covering the evening shift during the conventions.",The New York Times,2020-08-20 22:51:51+00:00
4021,What Kind of Second Gentleman Would Doug Emhoff Be?,"Kamala Harris’s lawyer husband is adoring on Instagram, proud of telling their love story and seems to relish life as a campaign spouse.","Douglas Emhoff was meeting a client about a case in his Los Angeles law office in the early 2010s when the conversation took an unexpected turn. Was Mr. Emhoff single, the client wondered — and if so, did he want to go on a blind date with her old friend Kamala Harris?",The New York Times,2020-08-19 18:00:20+00:00
4022,A Portrait of a Man Named Jonathan,Erica Deeman’s thoughtful pictures of members of the African diaspora highlight her subjects’ humanity.,"In each installment of The Artists, T highlights a recent or little-shown work by a Black artist, along with a few words from that artist putting the work into context. This week, we’re looking at a piece by Erica Deeman, who focuses on portrait photography, exploring questions of race and identity. Her new show, “Familiar Stranger,” opens next week at Anthony Meier Fine Arts.",The New York Times,2020-08-21 21:04:46+00:00
4023,"In My Mind, I’m Going to New Jersey","Where the Bruce is loud, and the Rolling Rocks are cold.","Let’s go down the shore. Grab the Coppertone and the beach towels, I’ll fill the cooler with Rolling Rock and some hoagies and a bag of Herr’s Barbecue Flavored potato chips. Did I forget anything? The Kadima paddles? My black bikini? A novel by Agatha Christie? A cheesesteak wit wiz?",The New York Times,2020-08-19 09:00:13+00:00
4024,"Ann Syrdal, Who Helped Give Computers a Female Voice, Dies at 74","As a researcher at AT&T, she helped lay the groundwork for modern digital assistants like Siri and Alexa.","Ann Syrdal, a psychologist and computer science researcher who helped develop synthetic voices that sounded like women, laying the groundwork for such modern digital assistants as Apple’s Siri and Amazon’s Alexa, died on July 24 at her home in San Jose, Calif. She was 74.",The New York Times,2020-08-20 20:49:09+00:00
4025,Ex-Green Beret Charged With Spying for Russia in Elaborate Scheme,"Prosecutors said he provided classified information to Russian intelligence operatives for years, betraying the United States.",WASHINGTON — A former Army Green Beret captain was accused on Friday of violating espionage laws after federal investigators said they uncovered evidence he joined the military at the behest of Russian intelligence operatives and had betrayed the United States for years.,The New York Times,2020-08-21 23:22:01+00:00
4026,Steve Bannon Is Charged With Fraud in We Build the Wall Campaign,Mr. Bannon and three others are accused in a scheme to use funds raised for construction to pay for personal expenses.,"Stephen K. Bannon, President Trump’s former adviser and an architect of his 2016 general election campaign, was charged on Thursday with defrauding donors to a private fund-raising effort called We Build the Wall, which was intended to bolster the president’s signature initiative along the Mexican border.",The New York Times,2020-08-20 13:50:11+00:00
4027,"Kenya’s Health Workers, Unprotected and Falling Ill, Walk Off Job","Hundreds of health workers have tested positive and some have died, while health facilities are overwhelmed and government officials are accused of stealing funds for medical supplies.","NAIROBI, Kenya — Doctors in public hospitals say they have not been paid, some for as long as six months. They’re furious that they’ve been given faulty protective gear, or none at all. Hundreds of government health workers have fallen sick with the coronavirus, and yet many say their medical insurance was cut in July, just when hospitals became overwhelmed with cases.",The New York Times,2020-08-21 18:48:58+00:00
4028,"Wildfires Threaten 25,000 Structures","Fast-moving fires are spreading across Northern California, with wind-whipped flames sending people out of their homes.",This briefing has ended. The latest updates on California’s wildfires are here. ,The New York Times,2020-08-19 14:09:38+00:00
4029,"Hubei Officials, Apple, Kiribati: Your Thursday Briefing",Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),The New York Times,2020-08-19 19:51:51+00:00
4030,"For Quick Coronavirus Testing, Israel Turns to a Clever Algorithm","Inspired by a mother’s question, the new method will be introduced across Israel this fall, just in time for flu season, and could be coming soon to the U.S.","BEERSHEBA, Israel — A team of three Israeli scientists has pioneered a coronavirus testing procedure that they say is faster and more efficient than any now in use, testing samples in pools of as many as 48 people at once.",The New York Times,2020-08-21 18:01:04+00:00
4031,Libyan Rivals Call for Peace Talks. It May Be Wishful Thinking.,The announcement of a cease-fire was a rare positive development in a chaotic conflict plagued by foreign meddling. But skeptics abound.,"CAIRO — Rival political leaders in Libya announced an immediate cease-fire on Friday and called for talks to demilitarize Sirte, the seaside city that has become the focus of international efforts to break the stalemated conflict in the oil-rich but dysfunctional North African nation.",The New York Times,2020-08-21 18:09:45+00:00
4032,Night 3 of the convention features high-stakes speeches. Here’s how to watch.,,"Joseph R. Biden Jr. is the “presumptive” presidential nominee, no more, after a pretaped rendition of the traditional delegate roll call Tuesday night put him over the 1,991-vote threshold for official nomination. ",The New York Times,2020-08-19 12:00:37+00:00
4033,U.K. Exam Chaos Prompts Stampede for College Places,"Universities rejected thousands of students when exam results were announced. With those grades now withdrawn, many are demanding places that have already been filled.","LONDON — The calls to Newcastle University started early this week, flooding in at the rate of 1,500 in a day. At Reading University, staff were forced to set up a makeshift phone bank in the library. Durham University, facing overwhelming demand for places in September’s freshman class, offered a cash reward to some young people if they deferred their education for a year.",The New York Times,2020-08-21 15:43:48+00:00
4034,All About Roundabouts,"Rotaries, traffic circles or however you know them, they’re often frustrating for American motorists. They are designed to lessen accidents, but that’s not always the effect.","In New England, they’re called rotaries; in New Jersey, traffic circles; and in much of the rest of the English-speaking world, roundabouts. Many frustrated motorists might have a more colorful name.",The New York Times,2020-08-20 10:00:08+00:00
4035,C.D.C. Suggests Some Child-Care Centers Can Reopen Safely,"Outbreaks at U.S. colleges are forcing sudden changes and sending students scrambling. With cases surging, Europe braces for a new phase in the pandemic.",This briefing has ended. Read the latest coronavirus updates here.,The New York Times,2020-08-21 09:16:44+00:00
4036,Who’s the Best First Lady?,"You know, we’re voting for more than a president.",Already sorta looking forward to the Republican convention next week. The White House says Melania Trump will be speaking to the American people from the Rose Garden on Tuesday.,The New York Times,2020-08-20 00:22:02+00:00
4037,Joe Biden Accepts Democratic Nomination: ‘I Will Draw on the Best of Us’,"Mr. Biden urged Americans to have faith that they could “overcome this season of darkness,” and he pledged to bridge the country’s divisions in ways President Trump had not.","Joseph R. Biden Jr. accepted the Democratic presidential nomination on Thursday night, beginning a general-election challenge to President Trump that Democrats cast this week as a rescue mission for a country equally besieged by a crippling pandemic and a White House defined by incompetence, racism and abuse of power.",The New York Times,2020-08-21 03:20:11+00:00
4038,Damian Lillard Thrives in the Bubble,"The eighth-seeded Trail Blazers upended the Lakers, and Lillard had 34 points.","Scott Bamforth knows Damian Lillard better than most. For two seasons, they shared the backcourt as teammates at Weber State. Lillard eventually left as an N.B.A. lottery pick while Bamforth, after breaking Lillard’s school records for 3-point shooting, landed in Spain a year later.",The New York Times,2020-08-19 11:48:16+00:00
4039,"With the Speech of His Life, Joe Biden Becomes the Man for This Moment",A country in pain gets a lesson in perseverance.,Let’s be honest. One of the big questions attending Joe Biden’s big speech at the Democratic National Convention was whether he still had enough gas and enough grip to get to the end of it without losing velocity or swerving this way and that.,The New York Times,2020-08-21 09:00:14+00:00
4040,Baseball’s Unwritten Rules: Where Does It Say You Can’t Do That?,Fernando Tatis Jr.’s grand slam with a big lead set off a new round of pearl-clutching. But even he didn’t understand what he had done wrong.,"Earlier this week, Fernando Tatis Jr. of the San Diego Padres hit a grand slam, a seemingly exciting moment for player, fans and teammates.",The New York Times,2020-08-20 16:55:28+00:00
4041,Barack Obama and Kamala Harris attracted the convention’s biggest TV audience yet.,,"MSNBC has dominated ratings for this year’s Democratic National Convention, and its streak continued on Wednesday as it attracted 6.3 million viewers for a starry night that featured speeches by Senator Kamala Harris and former President Barack Obama.",The New York Times,2020-08-20 21:09:48+00:00
4042,What Biden Must Do,A special round-table episode on what’s at stake during this week’s Democratic convention. Plus: a requiem for the “nerd Coachella.”,Listen and subscribe to “The Argument” from your mobile device:,The New York Times,2020-08-20 09:00:09+00:00
4043,Doug Emhoff is a contender to become the country’s first Second Gentleman.,,"Doug Emhoff, who emerged as a fervent professional spouse during Senator Kamala Harris’s thwarted campaign for the Democratic nomination for president, is a serious contender to be the country’s first-ever Second Gentleman.",The New York Times,2020-08-19 19:39:54+00:00
4044,11 of Our Best Weekend Reads,Kamala Harris’s Indian roots. Our new work lives. Greek life during Covid-19. The sounds of New York City. And more.,"Welcome to the weekend. I hope it brings you some sunshine wherever you are. If there’s no sun in sight, maybe you’ll be inspired by the people who are packing up and temporarily moving to warmer climes. (I have to confess, I’m tempted.) Whatever you end up doing, be sure to make time for some great journalism.",The New York Times,2020-08-21 21:10:03+00:00
4045,"Witnessing Pandemic New York, With an Ear to the Past",The Times photographer Todd Heisler has crisscrossed New York City during the pandemic. A new project combines the images he captured with audio from before the virus quieted the city.,"Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.",The New York Times,2020-08-21 09:00:22+00:00
4046,"Tony Awards Ceremony Will Go Ahead, Online",Decision comes after months of uncertainty following a Broadway shutdown that kept many shows from opening.,Tony Awards administrators have decided to hold an online ceremony this fall to honor shows that opened before the coronavirus pandemic shuttered Broadway.,The New York Times,2020-08-21 15:00:52+00:00
4047,The N.F.L. Is Playing With the Pandemic,"The virus is spiking in California, Florida, Texas, Arizona, Georgia, North Carolina, Missouri — states that host 13 of 32 teams.","Along with millions of other football fans across America and the globe, tens of thousands of Kansas Citians like me feverishly want the National Football League to have a full season this year, despite Covid-19. But as the league’s teams began training camp this week in preparation for the start of the season after Labor Day, I spent several days asking myself, other fans and league health officials if the risks are worth it.",The New York Times,2020-08-19 09:00:17+00:00
4048,Big Tech’s Domination of Business Reaches New Heights,"As the economy contracts and many companies struggle to survive, the biggest tech companies are amassing wealth and influence in ways unseen in decades.","American tech titans flew high before the coronavirus pandemic, making billions of dollars a year.",The New York Times,2020-08-19 09:00:23+00:00
4049,‘Earth Overshoot Day’ Is This Week,"Also, a pair of victories for oil and gas that could be short-lived",Welcome to the Climate Fwd: newsletter. The New York Times climate team emails readers once a week with stories and insights about climate change. Sign up here to get it in your inbox. ,The New York Times,2020-08-19 14:34:16+00:00
4050,He Wants to Save the Present With the Indigenous Past,Bruce Pascoe’s book “Dark Emu” sparked a reconsideration of Australian history. Now he hopes to use his writing to revive Aboriginal community.,"WALLAGARAUGH, Australia — Bruce Pascoe stood near the ancient crops he has written about for years and discussed the day’s plans with a handful of workers. Someone needed to check on the yam daisy seedlings. A few others would fix up a barn or visitor housing.",The New York Times,2020-08-20 09:00:35+00:00
4051,"No, Mr. DeSantis, Reopening Schools Is Not Like a SEALs Mission",A reader faults the Florida governor’s comparison. Also: Russian interference in the 2016 election; who should get stimulus checks; when we can hug again.,To the Editor:,The New York Times,2020-08-20 19:16:20+00:00
4052,What N.Y.C.’s Antibody Test Results Show Us,The data from  1.5 million tests confirms how deeply the coronavirus affected lower-income communities., [Want to get New York Today by email? Here’s the sign-up.],The New York Times,2020-08-20 09:12:23+00:00
4053,Alabama’s High Stakes Experiment: Reopening Universities as Virus Looms,"The state is betting its robust student testing and technology program will be enough to hinder campus outbreaks, even as universities in other states abruptly close.",Gov. Kay Ivey of Alabama made a daring educational decision in June: She would fund a statewide student testing and technology program to help public universities and colleges reopen for in-person classes.,The New York Times,2020-08-19 09:00:28+00:00
4054,‘I’m Only One Human Being’: Parents Brace for a Go-It-Alone School Year,"Just one in five families will have any sort of in-person help, a new survey finds, and parents are feeling stressed and stranded.","Parents across America are facing the pandemic school year feeling overwhelmed, anxious and abandoned. With few good options for support, the vast majority have resigned themselves to going it alone, a new survey for The New York Times has found.",The New York Times,2020-08-19 09:00:20+00:00
4055,Four moments that defined the final night of the Democratic National Convention.,,Mr. Biden’s speech accepting his party’s presidential nomination capped one of the most extraordinary Democratic National Conventions in history.,The New York Times,2020-08-21 14:25:34+00:00
4056,"Breastfeeding My Son Was a Long, Hard Journey, but We Took It Together","I nursed for 2 ½ years, doing what was right for my family and ignoring others’ comments.","Breastfeeding is something I always knew I wanted to do when I became a mom. As a Muslim woman, our doctrine tells us that if we are able, breastfeeding for up to two years is beneficial for both the baby and the mother. I wasn’t certain of all the mechanics that came with the act of breastfeeding, or the possibility that sometimes babies may not latch right away and the act could be physically and mentally taxing. However, that set intention turned into a two-and-a-half year commitment that my son and I were fortunate to embark on — together.",The New York Times,2020-08-20 19:02:22+00:00
4057,"Mary Hartline, a TV Star When TV Was New, Is Dead at 92","Often called television’s first sex symbol, she was a striking presence on “Super Circus” from 1949 to 1955 — and a master of promotion.","Mary Hartline, the high-energy platinum-blond entertainer who became one of network television’s earliest stars on the children’s show “Super Circus,” died on Aug. 12 at her home in Hillsboro, Ill. She was 92.",The New York Times,2020-08-19 21:49:46+00:00
4058,"Belarus, Coronavirus, Barack Obama: Your Thursday Briefing",Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),The New York Times,2020-08-20 04:02:40+00:00
4059,Fed Officials Said the Economy Needed More Help From Congress,Minutes from the Federal Reserve’s July meeting show that some officials fretted as expanded unemployment insurance ran out.,"WASHINGTON — Federal Reserve officials emphasized the need for ongoing economic support in late July as the coronavirus pandemic dragged on, keeping millions of workers at home and threatening U.S. growth.",The New York Times,2020-08-19 18:39:19+00:00
4060,"Norman Carlson, Forceful Head of U.S. Prisons, Dies at 86",He created the model for today’s super-maximum security prisons and oversaw a near doubling of federal facilities. He also insisted on cleanliness and decent food.,"It was an inmate at the Iowa State Penitentiary who first suggested to Norman Carlson that he get a job at the federal Bureau of Prisons. It was more progressive than the state system, the inmate said, and might be a better fit.",The New York Times,2020-08-20 17:13:06+00:00
4061,Tired of Tuna? This Chickpea Salad Sandwich Is Just the Thing,Let this simple dish remind you of those dependable school lunches in the best possible way.,"What tomato sandwiches were to Harriet the Spy, tuna salad was to me, and I ate it almost every day throughout grade school. Piled on whole-wheat, it was squishy and dependable, seeing me through the ups and downs of every cafeteria drama.",The New York Times,2020-08-19 16:36:17+00:00
4062,$300 Unemployment Benefit: Who Will Get It and When?,Forty states have so far signed on to President Trump’s stopgap program to get more money to the jobless. Here’s how it works.,"In early August, President Trump declared a plan to deliver $400 in extra weekly benefits to tens of millions of unemployed Americans — a short-term fix meant to replace the $600-a-week emergency federal supplement that expired in July.",The New York Times,2020-08-21 18:38:16+00:00
4063,"Christine Jahnke, Speech Coach for Women in Politics, Dies at 57","A backstage fixture at Democratic conventions, she helped speakers work with the teleprompter, read the audience and sharpen their message.","Christine Jahnke, a communications coach who prepared Democratic women to run for office and helped others, including Michelle Obama early in her White House years, become comfortable with public speaking, died on Aug. 4, her birthday, at her home in Washington. She was 57. ",The New York Times,2020-08-20 22:12:35+00:00
4064,Lori Loughlin and Mossimo Giannulli Get Prison in College Admissions Case,"The scandal has forced change to admissions rules, yet some observers say the shifts weren’t sweeping enough.","By Hollywood standards, the downfall had already been steep. After being implicated in the nation’s largest college admissions prosecution, Lori Loughlin resigned from her exclusive country club, downsized from her expansive Bel Air estate, and saw her acting career crater. Then, on Friday, Ms. Loughlin was sentenced to prison.",The New York Times,2020-08-21 13:46:04+00:00
